ID;EffSize;Efficiency;Constraint;Hierarchy;Indirects
Abdu Neme Jorge Makhluf Neto;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Abel Da Silva Santos;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Aderbal Da Paixão Gomes De Souza;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Adriana Costa Mothé;2,897435904;0,074293226;0,090497293;1,11E-05;0,878649533
Adriano Serra;2,181818008;0,198347092;0,246316448;0,000581984;0,645479143
Alcemir Da Cruz Belmiro;2,897435904;0,074293226;0,090497293;1,11E-05;0,878649533
Alciene Azeredo De Souza;4,709678173;0,151925102;0,104965791;4,88E-05;0,803792596
Alcilea Lugath Da Conceição;2,897435904;0,074293226;0,090497293;1,11E-05;0,878649533
Alciléia Dos Santos R. Do Rosário;3,899999142;0,097499974;0,085676894;9,86E-05;0,851069093
Alessandra Crespo Rosa;3,333333254;0,158730149;0,155001491;0,000430841;0,803584099
Alessandra Frasnelli Faria;2,769230366;0,213017717;0,191458285;0,000888341;0,576747
Alessandro Martins Guimarães;2,897435904;0,074293226;0,090497293;1,11E-05;0,878649533
Alex Gomes Da Motta;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Alexandre Crespo Stoller;1,45454514;0,132231385;0,266424268;0,000300258;0,71161288
Alexandre Da Silva;3,333333254;0,158730149;0,155001491;0,000430841;0,803584099
Alexis Wallace Sardinha;2,897435904;0,074293226;0,090497293;1,11E-05;0,878649533
Aline Iara Crissostomo Carvalho Rocha;6,096775055;0,19667016;0,101185098;0,000144656;0,77086556
Aline Maria S. C. Giovannini;4,276316166;0,112534642;0,089318365;2,76E-05;0,842261255
Almir Quitete De Lima Filho;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Alonso Bartolazzi Barbosa;4,276316166;0,112534642;0,089318365;2,76E-05;0,842261255
Amanda Aparecida Passalini;4,276316166;0,112534642;0,089318365;2,76E-05;0,842261255
Amaro Da Silva Lopes;14,33888817;0,4944444;0,099964991;0,022938211;0,675742805
Amaro Dos Santos Cruz;4,709678173;0,151925102;0,104965791;4,88E-05;0,803792596
Amaro Michel Bissonho Calil;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Ana Luisa Pereira Dos Santos Pessanha;3,333333254;0,158730149;0,155001491;0,000430841;0,803584099
Ana Márcia Mercadante Scot;3,899999142;0,097499974;0,085676894;9,86E-05;0,851069093
Ana Paula Galvão Baptista;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Ana Paula P. Oliveira Cordeiro;4,709678173;0,151925102;0,104965791;4,88E-05;0,803792596
Ana Paula Pessanha Cordeiro;2,897435904;0,074293226;0,090497293;1,11E-05;0,878649533
Anderson Esteves Da Silva;3,785713911;0,135204062;0,119379282;3,94E-05;0,82822299
Anderson Luiz Barreto Da Silva;6,17777729;0,137283951;0,078397207;2,70E-05;0,878215671
André Luis Da Silva Boviot;6,096775055;0,19667016;0,101185098;0,000144656;0,77086556
André Luiz Gomes De Oliveira;2,733332634;0,182222173;0,188034177;0,000238465;0,679167926
Andréa Da Silva Pinto Lobo De Azeve;3,333333254;0,158730149;0,155001491;0,000430841;0,803584099
Angela Patrícia Ricardo Da Silva;3,333333254;0,158730149;0,155001491;0,000430841;0,803584099
Angélica Pereira Barreto;2,897435904;0,074293226;0,090497293;1,11E-05;0,878649533
Anizete Évio De Souza Viana;5,241379738;0,180737227;0,108379938;0,000347494;0,772342741
Anna Caroline Dos Santos Tomaz;3,899999142;0,097499974;0,085676894;9,86E-05;0,851069093
Anne Caroline Afonso F. R. Cardoso;3,899999142;0,097499974;0,085676894;9,86E-05;0,851069093
Antônia Rodrigues Corrêa;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Antônio Augusto De Sá Rodrigues;1,45454514;0,132231385;0,266424268;0,000300258;0,71161288
